	cluster_id	text
0	2	key
1	14	sol
2	9	blackbank
3	2	welcome
4	11	bitcoin
5	11	hitman
6	9	bitcoin
7	5	antidot
8	9	maintainance
9	11	bitcoin
10	2	registration
11	2	registration
12	9	evolution
13	9	smarky
14	6	liberty
15	2	green
16	7	ico
17	9	vfemail
18	11	confucianism
19	10	zerobin
20	8	bye
21	9	paypal
22	12	dream
23	1	webuybitcoins
24	3	hide
25	2	upload
26	9	paypal
27	9	evolution
28	3	mailtor
29	9	kingdom
30	3	hide
31	12	hide
32	9	contact
33	9	zwitterion
34	7	sign
35	14	must
36	9	intel
37	9	lte
38	13	wikileaks
39	9	linux
40	1	microsoft
41	13	grafana
42	9	buy
43	9	pirate
44	9	add
45	10	domain
46	10	domain
47	9	ures
48	12	sigaint
49	9	love
50	9	cash
51	7	rhodium
52	5	main
53	1	delete
54	9	alpha
55	5	cannabisuk
56	9	mdma
57	9	source
58	9	bitcoin
59	2	next
60	3	hide
61	9	maintainance
62	10	domain
63	15	overchan
64	4	real
65	14	term
66	8	sit
67	13	cocaine
68	2	upload
69	12	gitmo
70	13	card
71	1	
72	9	benis
73	12	user
74	12	sigaint
75	10	nordic
76	5	registration
77	8	kamagra
78	3	hide
79	12	mobile
80	2	technodrome
81	9	imperial
82	7	extend
83	10	domain
84	9	fake
85	8	sin
86	7	ico
87	9	easycoin
88	9	imperial
89	5	smokeables
90	9	bitiply
91	13	bitpharma
92	14	paypal
93	10	eros
94	4	carders
95	6	rent
96	9	blackbank
97	3	samsung
98	9	bitmessage
99	3	lelantos
100	15	make
101	9	download
102	9	heaven
103	13	xcomics
104	9	porntal
105	5	girls
106	9	oniondir
107	11	cyruserv
108	9	amazon
109	9	hfs
110	9	operation
111	12	suspend
112	14	football
113	9	watch
114	7	deep
115	9	euro
116	9	hostname
117	15	latest
118	9	bookmarks
119	2	welcome
120	8	spider
121	3	hfs
122	9	hostname
123	13	upa
124	10	domain
125	14	paypal
126	9	escrow
127	12	sign
128	1	hide
129	8	help
130	9	table
131	10	domain
132	10	domain
133	14	secure
134	13	cocaine
135	5	antidot
136	9	green
137	11	bitcoin
138	10	domain
139	3	ico
140	4	onionweb
141	5	registration
142	12	growers
143	9	green
144	7	outlaw
145	9	soup
146	7	chinese
147	9	help
148	7	clone
149	10	search
150	9	torist
151	3	hide
152	15	green
153	8	hear
154	9	hide
155	3	hide
156	14	torvps
157	9	dark
158	10	blackbank
159	4	agora
160	9	premium
161	14	deep
162	12	mobile
163	12	suspend
164	10	domain
165	3	lelantos
166	9	sell
167	1	seem
168	7	ico
169	1	counterfeit
170	13	cocaine
171	10	domain
172	9	hide
173	9	matrix
174	2	lim
175	4	infernet
176	9	hide
177	9	category
178	3	eucanna
179	13	boys
180	9	new
181	13	wikileaks
182	7	account
183	9	stunnion
184	9	love
185	9	bitmixer
186	2	host
187	10	iphone
188	10	domain
189	12	freefor
190	13	upload
191	13	bitpharma
192	9	lolicore
193	9	hide
194	15	free
195	11	hackforum
196	2	anonymous
197	2	bitcoin
198	5	eviano
199	4	hide
200	3	simone
201	7	duckduckgo
202	9	heaven
203	9	hide
204	2	crt
205	9	dark
206	7	paypalcenter
207	9	liberty
208	9	appletor
209	9	wiki
210	2	dnca
211	1	cisco
212	12	money
213	9	btcmix
214	2	jeremy
215	14	ico
216	9	double
217	2	darknet
218	9	michael
219	15	credit
220	4	config
221	9	torshops
222	9	assets
223	10	soylentnews
224	3	download
225	9	dogshit
226	13	feedback
227	3	eucanna
228	7	tasweb
229	9	hide
230	14	deep
231	9	cyber
232	9	irc
233	9	group
234	5	lol
235	11	sign
236	9	securedrop
237	9	diaspora
238	3	pharma
239	2	pablo
240	9	welcome
241	9	hide
242	11	sign
243	3	stats
244	5	git
245	2	anabolics
246	7	happy
247	9	premium
248	11	hitman
249	10	faq
250	3	hide
251	10	iphone
252	9	pure
253	13	roscardtorg
254	9	securedrop
255	8	fake
256	10	connec
257	6	fappening
258	1	ccpal
259	13	bitpharma
260	3	bittit
261	9	cyruserv
262	10	domain
263	9	uncensored
264	9	beneath
265	4	config
266	5	main
267	9	appletor
268	10	domain
269	4	onionweb
270	9	main
271	10	domain
272	6	penis
273	8	sin
274	2	wiki
275	14	must
276	13	gallery
277	15	thorlauta
278	9	uncensored
279	9	fake
280	9	prometheus
281	10	instabit
282	10	code
283	10	domain
284	5	anonymous
285	9	torlinks
286	15	tail
287	10	domain
288	2	bitcoin
289	1	bryem
290	9	torbox
291	9	ilike
292	14	copyright
293	15	dark
294	2	plastic
295	7	ico
296	13	work
297	9	welcome
298	3	ico
299	4	onionweb
300	5	crabgrass
301	12	novelty
302	7	ico
303	12	silk
304	1	support
305	13	work
306	12	dream
307	9	bye
308	1	
309	9	wiki
310	9	jotunbane
311	10	domain
312	9	buy
313	7	rhodium
314	8	example
315	11	psy
316	5	casos
317	4	onionweb
318	5	customer
319	14	torchan
320	10	domain
321	3	exit
322	9	oniondir
323	12	torrentflux
324	11	periodic
325	1	mode
326	14	must
327	10	domain
328	15	deeptech
329	9	wallet
330	9	paste
331	7	mike
332	9	temporarily
333	4	onionweb
334	8	weedstore
335	10	plastic
336	9	passports
337	9	bye
338	4	penis
339	4	usa
340	8	fake
341	11	boys
342	9	search
343	3	hide
344	7	onionchat
345	8	drugmarket
346	10	old
347	5	anonymous
348	10	domain
349	7	access
350	2	welcome
351	9	green
352	9	project
353	1	seem
354	11	begin
355	3	buy
356	2	buy
357	11	energy
358	9	sarav
359	7	static
360	1	ico
361	9	helix
362	1	group
363	8	reillyzjvfozopaq
364	8	developer
365	8	bitcoin
366	15	apple
367	3	eucanna
368	15	wall
369	8	fake
370	9	wikileaks
371	14	gitlab
372	9	hide
