Asian,,Asia,,,
Brain,,Not a Country,,,
Ran,,Not a Country,,,
Berlin,capital,Germany,,,
Ã…land Islands,spelling,Åland Islands,,,
Afghan,spelling,Afghanistan,,,
"Afghanistan, Islamic State of",spelling,Afghanistan,,,
Albanian,local,Albania,,,
Algerian,,Algeria,,,
American,local,United States,,,
Andorran,,Andorra,,,
Angolan,,Angola,,,
Argentine,,Argentina,,,
Argentinia,,Argentina,,,
Armenian,,Armenia,,,
Aruban,,Aruba,,,
Australian,,Australia,,,
Austrian,local,Austria,,,
Austria,,Austria,,,
"Bahamas, The",spelling,Bahamas,,,
Bahamian,,Bahamas,,,
Bahraini,,Bahrain,,,
Baltic German,,Germany,,,
Baltic Russian,,Russia,,,
Bangladeshi,,Bangladesh,,,
Barbadian,,Barbados,,,
Belarusian,,Belarus,,,
Belgian,local,Belgium,,,
Belizeans,,Belize,,,
Bermudians,,Bermuda,,,
Bolivia,spelling,"Bolivia, Plurinational State of",,,
Bosnia Herzegovina,spelling,Bosnia and Herzegovina,,,
Bosniaks,,Bosnia and Herzegovina,,,
Botswana,,Botswana,,,
Brazilian,local,Brazil,,,
Breton,,France,,,
British,,United Kingdom,,,
British Indian Ocean Ter,spelling,British Indian Ocean Territory,,,
British Virgin Islanders,,British Virgin Island,,,
Brunei,spelling,Brunei Darussalam,,,
Bulgarian,local,Bulgaria,,,
Burkinabès,,Burkina Faso,,,
Burmese,,Burma,,,
Burundian,,Burundi,,,
C\xc3\xb4te d'Ivoire,spelling,Côte d'Ivoire,,,
C\xc3\xb4te d\xe2\x80\x99Ivoire,spelling,Côte d'Ivoire,,,
C\xf4te d'Ivoire,spelling,Côte d'Ivoire,,,
Cambodian,,Cambodia,,,
Cambodia,,Cambodia,,,
Cameroonians,,Cameroon,,,
Canadians,,Canada,,,
Cape Verdeans,,Cape Verde,,,
Central African Republic,spelling,Central African Republic,,,
Chadian,,Chad,,,
Chad,,Chad,,,
Chilean,,Chili,,,
"China, Hong Kong SAR",spelling,Hong Kong,,,
"China, Hong Kong Special Administrative Region",spelling,Hong Kong,,,
"China, Macao SAR",spelling,Macao,,,
"China, Macao Special Administrative Region",spelling,Macao,,,
"China, People's Republic of",spelling,China,,,
China: Hong Kong SAR,spelling,Hong Kong,,,
China: Macao SAR,spelling,Macao,,,
Chinese,local,China,,,
"Christmas Island, Aust",spelling,Christmas Island,#true?,,
"Cocos, Keeling Islands",spelling,"Cocos (Keeling) Islands",,,
Colombian,,Colombia,,,
